id;name;x;y;sprite;meta:longitude:float;meta:latitude:float;meta:population:int;filter:region;filter:district
C158;Odry;1596.069339;479.064128;Graphics/Icons/City.png;17.830879019;49.662546647;7274;0;0
C159;Vimperk;468.115885;215.959984;Graphics/Icons/City.png;13.774271666;49.052527919;7255;0;0
C160;Moravské Budějovice;1033.782609;215.790959;Graphics/Icons/City.png;15.808653302;49.052136027;7167;0;0
C161;Broumov;1179.274455;877.220554;Graphics/Icons/City.png;16.331904763;50.585690135;7145;0;0
C162;Dačice;930.520683;228.498349;Graphics/Icons/City.png;15.437278856;49.081598679;7142;0;0
C163;Český Brod;770.251432;656.641392;Graphics/Icons/City.png;14.86088147;50.07426748;7071;0;0
C164;Slavkov u Brna;1330.702225;259.412873;Graphics/Icons/City.png;16.876504369;49.153275386;6992;0;0
C165;Kaplice;668.870567;80.546129;Graphics/Icons/City.png;14.496272135;48.738564836;6984;0;0
C166;Nový Bydžov;945.429669;728.792281;Graphics/Icons/City.png;15.490898003;50.241552543;6982;0;0
C167;Nýřany;311.746816;500.203957;Graphics/Icons/City.png;13.21190102;49.711560287;6891;0;0
C168;Hořovice;503.836564;553.901679;Graphics/Icons/City.png;13.902738643;49.836060857;6882;0;0
C169;Vodňany;579.580913;257.127261;Graphics/Icons/City.png;14.175148006;49.147976092;6848;0;0
C170;Soběslav;730.700339;305.446473;Graphics/Icons/City.png;14.718638675;49.260006346;6830;0;0
C171;Sedlčany;649.52171;478.245889;Graphics/Icons/City.png;14.426685295;49.660649523;6799;0;0
C172;Kravaře;1644.420933;595.291275;Graphics/Icons/City.png;18.004772215;49.932024489;6601;0;0
C173;Holice;1083.084966;653.097347;Graphics/Icons/City.png;15.985965854;50.066050453;6542;0;0
C174;Kraslice;118.681866;764.284391;Graphics/Icons/City.png;12.517556147;50.323842588;6537;0;0
C175;Dobruška;1131.501248;750.570961;Graphics/Icons/City.png;16.160091697;50.292047387;6518;0;0
C176;Bučovice;1365.57383;257.557479;Graphics/Icons/City.png;17.001917706;49.148973571;6510;0;0
C177;Rosice;1194.840213;271.953766;Graphics/Icons/City.png;16.387885945;49.182352008;6466;0;0
C178;Blatná;498.012832;376.599157;Graphics/Icons/City.png;13.881793989;49.424977027;6371;0;0
C179;Světlá nad Sázavou;921.261562;481.443117;Graphics/Icons/City.png;15.403979061;49.66806244;6335;0;0
C180;Podbořany;367.384497;723.579664;Graphics/Icons/City.png;13.411998129;50.229466858;6248;0;0
C181;Kostelec nad Orlicí;1146.283257;677.530959;Graphics/Icons/City.png;16.213254179;50.122700875;6090;0;0
C182;Hustopeče;1292.085571;167.8022;Graphics/Icons/City.png;16.737622216;48.940871942;5998;0;0
C183;Tanvald;894.007097;942.656482;Graphics/Icons/City.png;15.305960246;50.737406262;5958;0;0
C184;Žamberk;1216.962005;661.71914;Graphics/Icons/City.png;16.467445454;50.086040466;5918;0;0
C185;Železný Brod;879.609095;901.849858;Graphics/Icons/City.png;15.254178818;50.642794278;5883;0;0
C186;Moravský Krumlov;1173.657176;214.423681;Graphics/Icons/City.png;16.311702605;49.048965931;5606;0;0
C187;Vítkov;1573.428871;527.328538;Graphics/Icons/City.png;17.749454126;49.774449841;5593;0;0
C188;Jilemnice;949.803457;887.250458;Graphics/Icons/City.png;15.506628032;50.608944916;5352;0;0
C189;Pohořelice;1232.814297;185.203403;Graphics/Icons/City.png;16.524457138;48.981217409;5312;0;0
C190;Jablunkov;1855.696828;442.034305;Graphics/Icons/City.png;18.764611504;49.576691347;5284;0;0
C191;Trhové Sviny;708.623658;125.326094;Graphics/Icons/City.png;14.639241403;48.84238919;5187;0;0
C192;Telč;934.828345;272.763728;Graphics/Icons/City.png;15.452771068;49.184229941;5140;0;0
C193;Horažďovice;447.75108;331.659236;Graphics/Icons/City.png;13.701031041;49.32078181;5113;0;0
C194;Luhačovice;1575.660308;236.358433;Graphics/Icons/City.png;17.757479338;49.099822634;4955;0;0
C195;Horšovský Týn;237.281337;421.79249;Graphics/Icons/City.png;12.944091023;49.529759792;4839;0;0
C196;Valašské Klobouky;1645.209397;253.959115;Graphics/Icons/City.png;18.007607874;49.140630604;4839;0;0
C197;Vizovice;1602.653354;289.428678;Graphics/Icons/City.png;17.854557978;49.222868373;4809;0;0
C198;Náměšť nad Oslavou;1131.059645;282.71455;Graphics/Icons/City.png;16.158503502;49.207301366;4723;0;0
C199;Pacov;809.410331;396.374431;Graphics/Icons/City.png;15.001713769;49.470826885;4604;0;0
C200;Votice;708.314719;469.425504;Graphics/Icons/City.png;14.638130325;49.640199066;4495;0;0
